parent_theme_name,decade,rgb,color_name,part_quantity
City,2000,E4ADC8,Bright Pink,3.0
City,2000,E4CD9E,Tan,209.0
City,2000,F08F1C,Trans-Orange,249.0
City,2000,F2CD37,Yellow,2400.0
City,2000,F5CD2F,Trans-Yellow,375.0
City,2000,F8BB3D,Bright Light Orange,1.0
City,2000,F8F184,Trans-Neon Green,11.0
City,2000,FCFCFC,Trans-Clear,195.0
City,2000,FE8A18,Orange,499.0
City,2000,FF800D,Trans-Neon Orange,3.0
City,2000,FFFFFF,White,4665.0
City,2010,0020A0,Trans-Dark Blue,794.0
City,2010,0055BF,Blue,3069.0
City,2010,05131D,Black,8074.0
City,2010,05131D,[No Color],47.0
City,2010,078BC9,Dark Azure,5.0
City,2010,0A3463,Dark Blue,502.0
City,2010,184632,Dark Green,80.0
City,2010,237841,Green,1026.0
City,2010,352100,Dark Brown,42.0
City,2010,36AEBF,Medium Azure,4.0
City,2010,3F3691,Dark Purple,2.0
City,2010,4B9F4A,Bright Green,67.0
City,2010,575857,Pearl Dark Gray,13.0
City,2010,582A12,Reddish Brown,994.0
City,2010,5A93DB,Medium Blue,61.0
City,2010,6074A1,Sand Blue,23.0
City,2010,635F52,Trans-Black,593.0
City,2010,6C6E68,Dark Bluish Gray,6826.0
City,2010,6D6E5C,Dark Gray,2.0
City,2010,720E0F,Dark Red,280.0
City,2010,84B68D,Trans-Green,188.0
City,2010,898788,Flat Silver,130.0
City,2010,958A73,Dark Tan,341.0
City,2010,9B9A5A,Olive Green,31.0
City,2010,9BA19D,Light Gray,1.0
City,2010,9CA3A8,Pearl Light Gray,2.0
City,2010,9FC3E9,Bright Light Blue,26.0
City,2010,A0A5A9,Light Bluish Gray,8793.0
City,2010,A0BCAC,Sand Green,2.0
City,2010,A5A9B4,Metallic Silver,32.0
City,2010,A95500,Dark Orange,51.0
City,2010,AA7F2E,Pearl Gold,63.0
City,2010,AEEFEC,Trans-Light Blue,931.0
City,2010,BBE90B,Lime,184.0
City,2010,C91A09,Red,4204.0
City,2010,C91A09,Trans-Red,899.0
City,2010,CC702A,Medium Dark Flesh,183.0
City,2010,CFE2F7,Trans-Medium Blue,2.0
City,2010,D09168,Flesh,5.0
City,2010,D9D9D9,Glow in Dark White,4.0
City,2010,DBAC34,Metallic Gold,37.0
City,2010,E0E0E0,Chrome Silver,28.0
City,2010,E4CD9E,Tan,716.0
City,2010,F08F1C,Trans-Orange,593.0
City,2010,F2CD37,Yellow,3991.0
City,2010,F5CD2F,Trans-Yellow,645.0
City,2010,F8BB3D,Bright Light Orange,131.0
City,2010,F8F184,Trans-Neon Green,10.0
City,2010,FCFCFC,Trans-Clear,673.0
City,2010,FE8A18,Orange,1061.0
City,2010,FF800D,Trans-Neon Orange,3.0
City,2010,FFF03A,Bright Light Yellow,1.0
City,2010,FFFFFF,White,8216.0
Classic Town,1970,0020A0,Trans-Dark Blue,38.0
Classic Town,1970,0055BF,Blue,227.0
Classic Town,1970,05131D,Black,1057.0
Classic Town,1970,05131D,[No Color],8.0
Classic Town,1970,237841,Green,77.0
Classic Town,1970,583927,Brown,7.0
Classic Town,1970,6D6E5C,Dark Gray,11.0
Classic Town,1970,84B68D,Trans-Green,6.0
Classic Town,1970,9BA19D,Light Gray,306.0
Classic Town,1970,C91A09,Red,1296.0
Classic Town,1970,C91A09,Trans-Red,14.0
Classic Town,1970,F2CD37,Yellow,801.0
Classic Town,1970,F5CD2F,Trans-Yellow,5.0
Classic Town,1970,FCFCFC,Trans-Clear,144.0
Classic Town,1970,FFFFFF,Milky White,4.0
Classic Town,1970,FFFFFF,White,1027.0
Classic Town,1980,0020A0,Trans-Dark Blue,109.0
Classic Town,1980,0033B2,Unknown,3.0
Classic Town,1980,0055BF,Blue,2234.0
Classic Town,1980,05131D,Black,4689.0
Classic Town,1980,05131D,[No Color],37.0
Classic Town,1980,237841,Green,207.0
Classic Town,1980,3592C3,Maersk Blue,227.0
Classic Town,1980,583927,Brown,59.0
Classic Town,1980,5A93DB,Medium Blue,9.0
Classic Town,1980,6D6E5C,Dark Gray,51.0
Classic Town,1980,84B68D,Trans-Green,36.0
Classic Town,1980,9BA19D,Light Gray,1243.0
Classic Town,1980,AEEFEC,Trans-Light Blue,161.0
Classic Town,1980,C91A09,Red,3814.0
Classic Town,1980,C91A09,Trans-Red,379.0
Classic Town,1980,F2CD37,Yellow,2986.0
Classic Town,1980,F5CD2F,Trans-Yellow,384.0
Classic Town,1980,FCFCFC,Trans-Clear,612.0
Classic Town,1980,FFFFFF,Milky White,2.0
Classic Town,1980,FFFFFF,White,5245.0
Classic Town,1990,0020A0,Trans-Dark Blue,191.0
Classic Town,1990,0055BF,Blue,1164.0
Classic Town,1990,05131D,Black,5121.0
Classic Town,1990,05131D,[No Color],37.0
Classic Town,1990,237841,Green,434.0
Classic Town,1990,3592C3,Maersk Blue,20.0
Classic Town,1990,583927,Brown,148.0
Classic Town,1990,5A93DB,Medium Blue,13.0
Classic Town,1990,6D6E5C,Dark Gray,126.0
Classic Town,1990,84B68D,Trans-Green,108.0
Classic Town,1990,9BA19D,Light Gray,3131.0
Classic Town,1990,AEEFEC,Trans-Light Blue,554.0
Classic Town,1990,BBA53D,Chrome Gold,16.0
Classic Town,1990,C870A0,Dark Pink,1.0
Classic Town,1990,C91A09,Red,3836.0
Classic Town,1990,C91A09,Trans-Red,534.0
Classic Town,1990,E0E0E0,Chrome Silver,47.0
Classic Town,1990,F2CD37,Yellow,2337.0
Classic Town,1990,F5CD2F,Trans-Yellow,577.0
Classic Town,1990,FC97AC,Pink,8.0
Classic Town,1990,FCFCFC,Trans-Clear,298.0
Classic Town,1990,FF800D,Trans-Neon Orange,21.0
Classic Town,1990,FFFFFF,White,6743.0
Classic Town,2000,0020A0,Trans-Dark Blue,14.0
Classic Town,2000,0055BF,Blue,183.0
Classic Town,2000,05131D,Black,432.0
Classic Town,2000,05131D,[No Color],4.0
Classic Town,2000,237841,Green,104.0
Classic Town,2000,582A12,Reddish Brown,8.0
Classic Town,2000,583927,Brown,15.0
Classic Town,2000,5A93DB,Medium Blue,9.0
Classic Town,2000,635F52,Trans-Black,1.0
Classic Town,2000,6D6E5C,Dark Gray,29.0
Classic Town,2000,84B68D,Trans-Green,12.0
Classic Town,2000,9BA19D,Light Gray,167.0
Classic Town,2000,A0A5A9,Light Bluish Gray,143.0
Classic Town,2000,AEEFEC,Trans-Light Blue,43.0
Classic Town,2000,C91A09,Red,398.0
Classic Town,2000,C91A09,Trans-Red,50.0
Classic Town,2000,E0E0E0,Chrome Silver,12.0
Classic Town,2000,F2CD37,Yellow,310.0
Classic Town,2000,F5CD2F,Trans-Yellow,59.0
Classic Town,2000,F8F184,Trans-Neon Green,1.0
Classic Town,2000,FCFCFC,Trans-Clear,56.0
Classic Town,2000,FE8A18,Orange,17.0
Classic Town,2000,FF800D,Trans-Neon Orange,3.0
Classic Town,2000,FFFFFF,White,822.0
Classic Town,2010,0020A0,Trans-Dark Blue,13.0
Classic Town,2010,0055BF,Blue,81.0
Classic Town,2010,05131D,Black,126.0
Classic Town,2010,0A3463,Dark Blue,6.0
Classic Town,2010,237841,Green,1.0
Classic Town,2010,575857,Pearl Dark Gray,10.0
Classic Town,2010,582A12,Reddish Brown,1.0
Classic Town,2010,635F52,Trans-Black,5.0
Classic Town,2010,6C6E68,Dark Bluish Gray,57.0
Classic Town,2010,84B68D,Trans-Green,2.0
Classic Town,2010,9FC3E9,Bright Light Blue,3.0
Classic Town,2010,A0A5A9,Light Bluish Gray,207.0
Classic Town,2010,A95500,Dark Orange,3.0
Classic Town,2010,AEEFEC,Trans-Light Blue,29.0
Classic Town,2010,C91A09,Red,30.0
Classic Town,2010,C91A09,Trans-Red,8.0
Classic Town,2010,CC702A,Medium Dark Flesh,1.0
Classic Town,2010,E4CD9E,Tan,7.0
Classic Town,2010,F08F1C,Trans-Orange,3.0
Classic Town,2010,F2CD37,Yellow,36.0
Classic Town,2010,F5CD2F,Trans-Yellow,13.0
Classic Town,2010,FE8A18,Orange,1.0
Classic Town,2010,FFFFFF,White,250.0
Model,1980,0055BF,Blue,135.0
Model,1980,05131D,Black,1691.0
Model,1980,05131D,[No Color],1.0
Model,1980,84B68D,Trans-Green,1.0
Model,1980,9BA19D,Light Gray,2000.0
Model,1980,C91A09,Red,584.0
Model,1980,C91A09,Trans-Red,8.0
Model,1980,F2CD37,Yellow,839.0
Model,1980,F5CD2F,Trans-Yellow,4.0
Model,1980,FFFFFF,White,45.0
Model,1990,0020A0,Trans-Dark Blue,6.0
Model,1990,0055BF,Blue,431.0
Model,1990,008F9B,Dark Turquoise,67.0
Model,1990,05131D,Black,12401.0
Model,1990,05131D,[No Color],32.0
Model,1990,237841,Green,284.0
Model,1990,6D6E5C,Dark Gray,688.0
Model,1990,81007B,Purple,1.0
Model,1990,84B68D,Trans-Green,9.0
Model,1990,9BA19D,Light Gray,8701.0
Model,1990,A5A9B4,Metallic Silver,30.0
Model,1990,AEEFEC,Trans-Light Blue,1.0
Model,1990,B31004,Rust,6.0
Model,1990,C91A09,Red,1462.0
