comfort_discussing_mhd_coworkers,comfort_discussing_mhd_supervisor,discussing_mhd_neg_cons,discussing_phi_neg_cons,taking_serious_mh_ph,having_mhi_hurts_career,gender,age
Maybe,Maybe,No,No,No,Maybe,male,37
Maybe,Maybe,No,No,Yes,"Yes, I think it would",male,28
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,42
Yes,Yes,Maybe,No,I don't know,"Yes, it has",female,30
No,Maybe,Maybe,Maybe,No,"Yes, I think it would",male,36
No,Maybe,Maybe,Maybe,Yes,"Yes, it has",male,30
Yes,Yes,No,No,Yes,"No, it has not",male,31
Maybe,No,Maybe,No,Yes,Maybe,male,37
Maybe,Yes,No,No,No,"No, I don't think it would",male,35
Yes,Yes,Maybe,Maybe,I don't know,"Yes, it has",female,26
Yes,Yes,No,No,Yes,Maybe,male,31
Maybe,Maybe,Maybe,No,Yes,"Yes, I think it would",female,29
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,33
Maybe,No,Maybe,No,Yes,Maybe,male,30
Yes,Yes,Maybe,No,No,"Yes, I think it would",male,30
Maybe,Yes,No,No,Yes,Maybe,male,27
Yes,Yes,No,No,Yes,Maybe,female,38
Maybe,No,Yes,No,No,"Yes, I think it would",male,49
Yes,Yes,No,No,Yes,Maybe,male,30
No,No,Maybe,No,I don't know,"Yes, I think it would",male,31
No,No,Yes,Maybe,Yes,"Yes, I think it would",male,34
Yes,Maybe,Maybe,No,No,Maybe,male,28
No,Maybe,No,No,I don't know,Maybe,male,27
Maybe,Maybe,Maybe,Maybe,I don't know,Maybe,female,37
Maybe,Maybe,Yes,No,Yes,"Yes, it has",male,45
Maybe,Yes,No,No,Yes,"No, it has not",female,31
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,30
No,Maybe,Maybe,Maybe,No,"Yes, I think it would",female,33
No,No,Maybe,No,I don't know,"Yes, it has",female,45
Maybe,Yes,No,No,Yes,Maybe,female,30
Maybe,Maybe,Maybe,Maybe,No,"Yes, it has",male,30
Yes,Yes,No,No,No,"Yes, I think it would",male,36
Maybe,Maybe,No,No,Yes,Maybe,male,28
Maybe,Yes,No,No,Yes,Maybe,male,36
Maybe,No,Maybe,No,I don't know,Maybe,female,37
Yes,Yes,No,No,Yes,"No, I don't think it would",male,29
Yes,Yes,No,No,Yes,"No, I don't think it would",male,25
Maybe,Yes,No,No,No,"Yes, I think it would",female,34
Maybe,Maybe,Maybe,Maybe,Yes,"Yes, I think it would",male,37
Maybe,Yes,Maybe,No,I don't know,Maybe,female,40
Maybe,No,Yes,Maybe,No,"Yes, I think it would",male,32
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,38
Maybe,Maybe,Maybe,No,No,Maybe,female,31
Yes,Yes,No,No,Yes,Maybe,female,28
No,No,Yes,Maybe,No,"Yes, it has",female,27
Maybe,Maybe,Maybe,No,I don't know,Maybe,female,28
No,Maybe,No,No,Yes,Maybe,male,26
Yes,Yes,No,No,Yes,Maybe,male,40
Yes,Yes,No,No,Yes,Maybe,male,42
Maybe,Maybe,No,No,Yes,Maybe,male,36
No,Maybe,Yes,Yes,No,"Yes, I think it would",male,44
Yes,No,No,No,I don't know,"No, I don't think it would",male,31
Maybe,No,Maybe,Maybe,I don't know,Maybe,female,27
No,Maybe,No,No,I don't know,"Yes, I think it would",male,27
Maybe,Maybe,No,No,I don't know,"No, I don't think it would",male,28
No,No,Yes,Maybe,No,"Yes, it has",female,20
Maybe,Maybe,Yes,No,I don't know,Maybe,male,38
No,No,Yes,Maybe,I don't know,Maybe,male,29
Maybe,Maybe,Maybe,No,No,"Yes, it has",female,44
No,Yes,No,No,Yes,Maybe,male,31
No,No,Yes,Maybe,No,"Yes, I think it would",male,54
No,Maybe,No,No,I don't know,Maybe,male,33
No,No,Maybe,Maybe,No,"Yes, I think it would",male,29
Maybe,Maybe,No,No,I don't know,Maybe,other,26
No,No,Yes,Yes,I don't know,"Yes, I think it would",female,38
Maybe,Maybe,No,No,I don't know,"No, I don't think it would",male,30
Maybe,Maybe,No,No,Yes,Maybe,female,47
Yes,Yes,No,No,Yes,Maybe,female,33
Maybe,Maybe,No,No,I don't know,Maybe,male,22
No,Yes,No,No,I don't know,Maybe,other,28
Yes,Yes,No,No,Yes,"Yes, I think it would",male,31
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,39
Maybe,Maybe,Maybe,No,Yes,"Yes, I think it would",male,21
Maybe,Maybe,No,No,Yes,"Yes, I think it would",female,31
No,Maybe,Maybe,No,Yes,"Yes, I think it would",female,32
Maybe,Maybe,No,No,Yes,Maybe,male,34
Maybe,Maybe,Maybe,Maybe,Yes,Maybe,male,35
Maybe,Yes,No,No,Yes,Maybe,male,31
Yes,Yes,No,No,Yes,Maybe,male,36
Maybe,Maybe,Maybe,No,Yes,"Yes, I think it would",male,50
Yes,Maybe,Maybe,Maybe,I don't know,Maybe,male,47
Maybe,No,Maybe,Maybe,I don't know,"Yes, I think it would",female,32
Maybe,Yes,No,No,Yes,Maybe,female,23
Yes,Yes,Maybe,No,Yes,"Yes, I think it would",female,43
Yes,Yes,No,No,Yes,Maybe,female,26
Maybe,Maybe,No,No,I don't know,Maybe,female,26
Maybe,Yes,No,No,Yes,"Yes, I think it would",female,55
Maybe,Maybe,No,No,Yes,Maybe,male,27
No,No,Maybe,No,I don't know,"Yes, I think it would",male,34
Maybe,Yes,Yes,No,I don't know,"Yes, I think it would",male,35
Yes,Yes,No,No,Yes,Maybe,female,38
Maybe,Maybe,Yes,Maybe,I don't know,"Yes, I think it would",male,29
Yes,Yes,No,No,Yes,Maybe,male,29
Maybe,Yes,No,No,No,"No, I don't think it would",male,40
Yes,Yes,No,No,Yes,Maybe,female,29
Yes,Yes,No,No,Yes,"No, it has not",male,35
Maybe,Maybe,No,No,I don't know,Maybe,male,43
